tcpDumpTimestamp;User_Name;NAS_IP_Address;Framed_IP_Address;NAS_Identifier;Acct_Status_Type;Acct_Delay_Time;Acct_Input_Octets;Acct_Output_Octets;Acct_Session_Id;Acct_Input_Gigawords;Acct_Output_Gigawords;Event_Timestamp;Framed_IP_Netmask;Acct_Unique_Session_Id;Timestamp
Tue Jun  9 05:43:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;593408;1462195;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 05:43:47 CEST;255.255.255.255;3a48eb713547a3be;1433821428;
Tue Jun  9 05:48:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;118913;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 05:48:19 CEST;255.255.255.255;a4a559c8c5d03422;1433821699;
Tue Jun  9 05:53:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;600895;1472206;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 05:53:47 CEST;255.255.255.255;3a48eb713547a3be;1433822028;
Tue Jun  9 05:58:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;119172;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 05:58:19 CEST;255.255.255.255;a4a559c8c5d03422;1433822299;
Tue Jun  9 06:03:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;601909;1474271;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 06:03:47 CEST;255.255.255.255;3a48eb713547a3be;1433822628;
Tue Jun  9 06:08:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;119780;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 06:08:19 CEST;255.255.255.255;a4a559c8c5d03422;1433822899;
Tue Jun  9 06:13:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;602923;1475563;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 06:13:47 CEST;255.255.255.255;3a48eb713547a3be;1433823228;
Tue Jun  9 06:18:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;119885;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 06:18:19 CEST;255.255.255.255;a4a559c8c5d03422;1433823499;
Tue Jun  9 06:23:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;615610;1491386;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 06:23:47 CEST;255.255.255.255;3a48eb713547a3be;1433823828;
Tue Jun  9 06:28:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;120082;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 06:28:19 CEST;255.255.255.255;a4a559c8c5d03422;1433824099;
Tue Jun  9 06:33:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;623771;1499379;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 06:33:47 CEST;255.255.255.255;3a48eb713547a3be;1433824428;
Tue Jun  9 06:38:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;120238;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 06:38:19 CEST;255.255.255.255;a4a559c8c5d03422;1433824699;
Tue Jun  9 06:43:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;627996;1507453;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 06:43:47 CEST;255.255.255.255;3a48eb713547a3be;1433825028;
Tue Jun  9 06:48:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;120968;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 06:48:19 CEST;255.255.255.255;a4a559c8c5d03422;1433825299;
Tue Jun  9 06:53:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;640914;1523847;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 06:53:47 CEST;255.255.255.255;3a48eb713547a3be;1433825628;
Tue Jun  9 06:58:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;121257;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 06:58:19 CEST;255.255.255.255;a4a559c8c5d03422;1433825899;
Tue Jun  9 07:03:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;641928;1525138;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 07:03:47 CEST;255.255.255.255;3a48eb713547a3be;1433826228;
Tue Jun  9 07:08:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;121575;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 07:08:19 CEST;255.255.255.255;a4a559c8c5d03422;1433826499;
Tue Jun  9 07:13:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;648462;1534277;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 07:13:47 CEST;255.255.255.255;3a48eb713547a3be;1433826828;
Tue Jun  9 07:18:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;122710;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 07:18:19 CEST;255.255.255.255;a4a559c8c5d03422;1433827099;
Tue Jun  9 07:23:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;650088;1536648;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 07:23:47 CEST;255.255.255.255;3a48eb713547a3be;1433827428;
Tue Jun  9 07:28:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;125141;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 07:28:19 CEST;255.255.255.255;a4a559c8c5d03422;1433827699;
Tue Jun  9 07:33:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;656618;1546304;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 07:33:47 CEST;255.255.255.255;3a48eb713547a3be;1433828028;
Tue Jun  9 07:38:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;125586;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 07:38:19 CEST;255.255.255.255;a4a559c8c5d03422;1433828299;
